Accession Number,Date Received,ISBN,Author,Title of Book,Edition,Volume,Pages,Publisher,Place of Publication,Year,Program,Location,Call number from Sophia
3512,7/2/2018,9789718558584,"Arceo, Thelma M.",Recollections,,,87,Ortigas Foundation Inc.,Ortigas,2013,Filipiniana,Filipiniana,FIL CT 1790 A4 Ar21 2013
3513,7/2/2018,9789718715150,"Lacaba, Jose F.",The Films of Asean,,,218,Ortigas Foundation Inc.,Ortigas,2000,Filipiniana,Filipiniana,FIL PN 1993.5 A75F48 2000
3514,7/2/2018,,Vicente Abad Santos,The 1972 Constitution: correlated with presidential decrees and letters of instruction,,,236,Ortigas Foundation Inc.,Ortigas,1973,Filipiniana,Filipiniana,FIL KPM 1944 A75a59 1973
3515,7/2/2018,9789716780260,Azucena Grajo Uranza,Masks and Mirrors,,,273,Ortigas Foundation Inc.,Ortigas,2008,Filipiniana,Filipiniana,FIL PL 5539 U72Ur1 2008
3516,7/2/2018,9789718705430,"Ferrer, Jesus E.",Talaang Ginto Gawad Surian sa Tula Gantimpalang Collantes,,,187,Ortigas Foundation Inc.,Ortigas,1998,Filipiniana,Filipiniana,FIL PL 6062.1 SaS9t 1998
3517,7/2/2018,,Robert Cluett & Lee Ahlborn,Effective English Prose: Writing for meaning/reading for style,,,246,Ortigas Foundation Inc.,Ortigas,1965,Gen. Ed.,Filipiniana,
3518,7/2/2018,9789712700097,Albert Gamos & Ibarra Crisostomo,Antolohiya ng mga Nagwaging Akda,,,528,Ortigas Foundation Inc.,Ortigas,1990,Filipiniana,Filipiniana,FIL PL 5546 S5D65 1990
3519,7/2/2018,9789711003406,"Ochosa, Orlino A.",The Tinio Brigade,,,285,Ortigas Foundation Inc.,Ortigas,1989,Filipiniana,Filipiniana,FIL DS 685 O63 1989
3520,7/2/2018,9781582340821,Anthony Bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly,,,307,Ortigas Foundation Inc.,Ortigas,2000,BSTM,Filipiniana,
3521,7/2/2018,878572449,Jerome Irving Rodale,The Synonym Finder,,,1361,Ortigas Foundation Inc.,Ortigas,1978,Filipiniana,Filipiniana,
3522,7/2/2018,691008108,"Bresnan, John",Crisis in the Philippines: The Marcos Era and Beyond,,,284,Ortigas Foundation Inc.,Ortigas,1986,Filipiniana,Filipiniana,FIL DS 686.5 C868 1986
3523,7/2/2018,,"Rafino, Alejandro",A handbook of Tagalog Grammar,,,219,Ortigas Foundation Inc.,Ortigas,1947,Filipiniana,Filipiniana,FIL PL 6054 A25 1947
3524,7/2/2018,978971542113X,"Antonio, Teo",Pira-pirasong Bituin,,,129,Ortigas Foundation Inc.,Ortigas,1996,Filipiniana,Filipiniana,FIL PL 6062.1 An88 1996
3525,7/2/2018,20120222,Far Eastern University,Far Eastern University Colloquium:t The Department of Humanities and Social Science Research Journal,,,200,Ortigas Foundation Inc.,Ortigas,2009,Gen. Ed,Filipiniana,FIL LG 221 M2A1 2009
3526,7/2/2018,9789711130572,"Salanga, Alfredo & Pacheco, Esther","Versus: Philippine Protest Poetry, 1983-1986",,,150,Ortigas Foundation Inc.,Ortigas,1986,Filipiniana,Filipiniana,FIL PL 5533 V616 1986
3527,7/2/2018,,"Henares, Hilarion",Sun and Star aligt Henares,,,198,Ortigas Foundation Inc.,Ortigas,1976,Filipiniana,Filipiniana,FIL PL 5539 H34 H381a 1976
3528,7/2/2018,9789718705260,Irma Canilao,Pampango-Filipino Lexicon,,,151,Ortigas Foundation Inc.,Ortigas,1998,Filipiniana,Filipiniana,FIL PL 5993 C36 1998
3529,7/2/2018,,"Hila, orazon & Perez, Rodrigo & Dacanay, Julian Jr.",Balai Vernacular: Images of the Filipino's private space,,,254,Ortigas Foundation Inc.,Ortigas,1992,Filipiniana,Filipiniana,FIL NA 7462 B181 1992
3530,7/2/2018,978987654321,"Day, Beth",The Philippines Shattered Showcase of Democracy in Asia,,,230,Ortigas Foundation Inc.,Ortigas,1974,Filipiniana,Filipiniana,FIL DS 686.5 D33 1974
3531,7/2/2018,,Paraluman S. Aspillera,Buhat sa Aming Sulok,,,116,Ortigas Foundation Inc.,Ortigas,1966,Filipiniana,Filipiniana,FIL PN 4839 As65 1966
3532,7/2/2018,9789712710343,Cristina Pantoja Hidalgo & Erlinda Enriquez Panlilio,Why I travel: and other essays by fourteen women,,,274,Ortigas Foundation Inc.,Ortigas,2000,Gen. Ed,Filipiniana,FIL PL 5546 W629 2000
3533,7/2/2018,9781564581853,A dorling Kindersley Book,Paris,,,375,Ortigas Foundation Inc.,Ortigas,1993,BSTM,Filipiniana,
3534,7/2/2018,9789711005107,John A. Larkin,The Pampangans: Colonial Society in A Philippine Province,,,342,Ortigas Foundation Inc.,Ortigas,1972,Filipiniana,Filipiniana,FIL DS 688 P19L326 1993
3535,7/2/2018,978997178274x,"Tan Phing Chao, Peony",The Certificate History of Malaya 1400-1965,,,388,Ortigas Foundation Inc.,Ortigas,1988,Gen. Ed,Filipiniana,
3536,7/2/2018,9789718857109,Joaquin Sy,Tamad nga ba si Juan: at iba pang sanaysay at salin,,,104,Ortigas Foundation Inc.,Ortigas,1991,Filipiniana,Filipiniana,FIL PL 6063 S74Sy1
3537,7/2/2018,9789711003910,Alfredo N. Salanga,Chronicles & Dispatches,,,187,Ortigas Foundation Inc.,Ortigas,1991,Filipiniana,Filipiniana,FIL PL 5532 S31 1991
3538,7/2/2018,,Potenciano C. Aliño,Decision on the Uplands,,,110,Ortigas Foundation Inc.,Ortigas,1993,Filipiniana,Filipiniana,FIL Ds 666 M5A145 M 93
3539,7/2/2018,,Francisco Arcellana,Philippine Pen Anthology of Short Stories,,,260,Ortigas Foundation Inc.,Ortigas,1962,Filipiniana,Filipiniana,FIL PN 5535 Ar21 1962
3540,7/2/2018,,Isabel Dimaya Vista,Culture Currents of the world music,,,92,Ortigas Foundation Inc.,Ortigas,1978,Filipiniana,Filipiniana,
3541,7/2/2018,9789715552846,Maria Stella S. Valdez,"Mga taon ng himagsikan: mga impresyon, perspektibo at tungkulin",,,257,Ortigas Foundation Inc.,Ortigas,1999,Filipiniana,Filipiniana,
3542,7/2/2018,,David Fitzgerald,Oklahoma II,,,143,Ortigas Foundation Inc.,Ortigas,,BSTM,Filipiniana,F 695 F57 1989
3543,7/2/2018,,,Italy's Life 1870-1970,,,176,Ortigas Foundation Inc.,Ortifgas,1971,BSTM,Filipiniana,
3544,7/2/2018,9780517631148,Arch Cape Press,"Washington, D.C.",,,158,Ortigas Foundation Inc.,Ortifgas,1989,BSTM,Filipiniana,F 192.3 H313 1989
3545,7/2/2018,9789626840102,,China:Welcomes you,,,215,Ortigas Foundation Inc.,Ortifgas,1998,BSTM,Filipiniana,
3546,7/2/2018,,Health and Lifestyle,Decade One Omnibus,,,153,Ortigas Foundation Inc.,Ortifgas,2012,Filipiniana,Filipiniana,
3547,7/2/2018,9186484412,Robert W. Cameron,Above Seattle,,,160,Ortigas Foundation Inc.,Ortigas,1994,BSTM,Filipiniana,F 899 S443 C36 1994
3548,7/2/2018,9781864503739,Joe Cummings,Lonely Planet: Laos,,,345,Ortigas Foundation Inc.,Ortigas,2002,BSTM,Filipiniana,REF DS 555.3 L299 C96
3549,7/2/2018,9780864422637,Peter Turner,Lonely Planet: Indonesia,,,979,Ortigas Foundation Inc.,Ortigas,1996,BSTM,Filipiniana,REF DS 614 T942 2013
3550,7/2/2018,,Ann Caddle Crawford,Custom and Culture of Vietnam,,,259,Ortigas Foundation Inc.,Ortigas,1967,BSTM,Filipiniana,
3551,7/2/2018,,,German - English & English - German Dictionary,,,590,Ortigas Foundation Inc.,Ortigas,1953,Reference,Filipiniana,
3552,7/2/2018,9780321015843,Edward P.J. Corbet & Sheryl L. Finkle,The Little English Handbook,,,264,Ortigas Foundation Inc.,Ortigas,1998,Gen Ed,Filipiniana,
3553,7/2/2018,9789715012736,Ed Garcia & Francisco Nemezo,The Sovereign Quest: Freedom from foreign military bases,,,109,Ortigas Foundation Inc.,Ortigas,1991,Filipiniana,Filipiniana,FIL JC 327 G165 1988
3554,7/2/2018,,Juan C. Laya,Diwang Kayumanggi: Ikatlong Aklat,,,160,Ortigas Foundation Inc.,Ortigas,1981,Filipiniana,Filipiniana,FIL PL 6061 L451 1946
3555,7/2/2018,9780864424112,Joe Cummings,Lonely Planet: Thailand,,,833,Ortigas Foundation Inc.,Ortigas,1997,BSTM,Filipiniana,
3556,7/2/2018,9789716480202,Dr. Agnes C. Buenos,Midnight Colors,,,270,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,FIL HQ 607 P6 B84 1993
3557,7/2/2018,,Consuelo C. Banag & Herminia M. Ancheta,This is our country: This is our country series social studies readers,,,226,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,
3558,7/2/2018,,Ministry of Human Settlements,Bagong Lipunan Improvement of Sites and Services,,,25,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,
3559,7/2/2018,9783836500562,Angelika Taschen,Barcelona,,,191,Ortigas Foundation Inc.,Ortigas,2007,Reference,Filipiniana,
3560,7/2/2018,,Alberto S. Florentino,Makata 6: Early Poets,,,97,Ortigas Foundation Inc.,Ortigas,1924,Filipiniana,Filipiniana,
3561,7/2/2018,9781405041782,Barry Turner,The Wrietr's Handbook:Guide to Travel Writing,,,145,Ortigas Foundation Inc.,Ortigas,2004,BSTM,Filipiniana,G 465 W946 2004
3562,7/2/2018,978971895807x,Renato Constantino,Origin Of A Myth,,,32,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,FIL DS 656 C766
3563,7/2/2018,9789715064484,Vicente Groyon,A Different Voice,,,240,Ortigas Foundation Inc.,Ortigas,2007,Filipiniana,Filipiniana,FIL PL 5535 D54 2007
3564,7/2/2018,9789715422276,Rosalinda Ofreneo,Tinig at Kapangyarihan: Mga Kuwentong Buhay ng Kababaihang Manggagawa sa bahay,,,183,Ortigas Foundation Inc.,Ortigas,1999,Filipiniana,Filipiniana,FIL HD 2336 P5Of6 1999
3565,7/2/2018,,Ferdinand Marcos,Tadhana: The history of the Filipino people,,,477,Ortigas Foundation Inc.,Ortigas,1976,Filipiniana,Filipiniana,FIL DS 668 M37 1982 v.2
3566,7/2/2018,,Domingo Abella,From Indio to Filipino,,,255,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,FIL DS 674 A35 1978
3567,7/2/2018,9789715841412,Tyrone M. Reyes M.D. & Ofelia B. Luna-Reyes M. D.,Introduction to physical therapy and Patient care,,,139,Ortigas Foundation Inc.,Ortigas,1977,Filipiniana,Filipiniana,FIL RM 705 R45 1994
3568,7/2/2018,,Guillermo B. Guevara,Across four Generations,,,280,Ortigas Foundation Inc.,Ortigas,1973,Filipiniana,Filipiniana,CT 25 G939 1973
3569,02/072018,9789715501552,Lourdes H. Vidal & Ma. Cristina S. Nelmida,Maikling Kuwentong Kapampangan at Pangasinan,,,393,Ortigas Foundation Inc.,Ortigas,1996,Filipiniana,Filipiniana,PL 5994.Z9P5 M35 1996
3570,7/2/2018,9789715420036,"Mila Carreon-Laurel, Ricardo Lee et al.",Sigwa: Isang Antolohiya ng Maikling Kuwento,,,250,Ortigas Foundation Inc.,Ortigas,1992,Filipiniana,Filipiniana,PN 6062.3 S824 1992
3571,7/2/2018,9780807059036,Alexandra David-Neel,My Journey to Lhasa,,,310,Ortigas Foundation Inc.,Ortigas,1993,Gen. Ed,Filipiniana,
3572,7/2/2018,9789718957059,John F.R.L. Santos & Karmina D. Torres,Alamat,,,181,Ortigas Foundation Inc.,Ortigas,2003,Filipiniana,Filipiniana,GR 325 S36 2000
3573,7/2/2018,9789712706356,Margarita Go Singco-Holmes,Buhay-Lalake,,,138,Ortigas Foundation Inc.,Ortigas,1997,Filipiniana,Filipiniana,HQ 23 H736B 1997
3574,7/2/2018,679002944,Laura M. Kidder,"Fodor's: Indonesia the complete guide with ancient temples, handicraft villages and the best bali beach resorts",,,135,Ortigas Foundation Inc.,Ortigas,1999,BSTM,Filipiniana,DS 614 F68 1999
3575,7/2/2018,,,Pedro O. Reyes Jr.,,,511,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,
3576,7/2/2018,9789715421591,Jun Cruz Reyes,Ilang talang luma buhat sa talaarawan ng isang may nunal sa talampakan,,,168,Ortigas Foundation Inc.,Ortigas,1998,Filipiniana,Filipiniana,PL 6663 R63 R33i 1998
3577,7/2/2018,9789715423328,Ricardo M. De Ungria & Jose Y. Dalisay,The Likhaan Book of Poetry and Fiction 1999,,,352,Ortigas Foundation Inc.,Ortigas,2001,Filipiniana,Filipiniana,PR 9550.5 L55 2001
3578,7/2/2018,,Carolina Flores Trinidad,Dillettante: A Collection of Light Verses and Four Cartoons,,,121,Ortigas Foundation Inc.,Ortigas,1972,Filipiniana,Filipiniana,PS 9993 T75D54 1972
3579,7/2/2018,,"Reed, Robert R.",Colonial Manila,,,118,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,DS 689 M2 R251 1978
3580,7/2/2018,9788863840315,,My Biennale Guide Venice 2013,,,158,Ortigas Foundation Inc.,Ortigas,2013,Gen Ed.,Filipiniana,
3581,7/2/2018,9789622172890,Dawn Rooney,A guide to Angkor: An introduction to the temples,,,240,Ortigas Foundation Inc.,Ortigas,1994,BSTM,Filipiniana,DS 554.98 A5 r66 1997
3582,7/2/2018,,Amado Guerrero,Philippines Society and Revolution,,,263,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,DS 686.5 G937 2006
3583,7/2/2018,9789711004585,Rosario Mendoza Cortes,Pangasinan 1572-1800,,,276,Ortigas Foundation Inc.,Ortigas,1974,Filipiniana,Filipiniana,DS 688 P21 C818p 1974
3584,7/2/2018,,Philippine Council for Agriculture and Resources Research,Philippines Recommends for the Production of fast growing hardwoods 1978,,,17,Ortigas Foundation Inc.,Ortigas,1978,Filipiniana,Filipiniana,SB 261 H208 1978
3585,7/2/2018,,Philippine Council for Agriculture and Resources Research,The Philippines Recommends for ABBACA 1977,,,71,Ortigas Foundation Inc.,Ortigas,1977,Filipiniana,Filipiniana,SB 216 M3Ab75 1997
3586,7/2/2018,9900000601409,Philippine Council for Agriculture and Resources Research,The Philippines Recommends for Potato 1979,,,67,Ortigas Foundation Inc.,Ortigas,1979,Filipiniana,Filipiniana,SB 371P85 1979
3587,7/2/2018,,Philippine Council for Agriculture and Resources Research,The Philippines Recommends for Ipil-Ipil 1980,,,89,Ortigas Foundation Inc.,Ortigas,1980,Filipiniana,Filipiniana,SB 317 L43 1980
3588,7/2/2018,9789715423984,Charlson ong,A Tropical Winter's Stale and Other Stories,,,151,Ortigas Foundation Inc.,Ortigas,2003,Filipiniana,Filipiniana,PS 9993 O54 T76
3589,7/2/2018,9789715421454,Rofel G. Brion,Story,,,165,Ortigas Foundation Inc.,Ortigas,1997,Filipiniana,Filipiniana,PL 5539 B756 1997
3590,7/2/2018,9789712721410,Ambeth R. Ocampo,101 Stories on the Philippine Revolution,,,312,Ortigas Foundation Inc.,Ortigas,2009,Filipiniana,Filipiniana,DS 676Ost1
3591,7/2/2018,9789715422215,Jose V. Ayala,Stories,,,162,Ortigas Foundation Inc.,Ortigas,1999,Filipiniana,Filipiniana,PR 95334.9 A93AY14 1999
3592,7/2/2018,,Emilia S. Reyes-Cruz,Filipino Folk Songs,,,37,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,M 1822 C889 1950
3593,7/2/2018,,Kalma Uddin Siddiqui,Bangladesh A Land of Cultural Diversity,,,115,Ortigas Foundation Inc.,Ortigas,2006,BSTM,Filipiniana,
3594,7/2/2018,,Punta Baluarte: Inter Continental Hotels,Explorer: The Philippines,,,168,Ortigas Foundation Inc.,Ortigas,,BSTM,Filipiniana,
3595,7/2/2018,,,Ifugao: People of the Earth,,,176,Ortigas Foundation Inc.,Ortigas,2017,Filipiniana,Filipiniana,
3596,7/2/2018,,Nick Joaquin,Palacio de Malacañang,,,357,"Ortigas Foundation, Inc",Ortigas,2002,Filipiniana,Filipiniana,
3597,7/2/2018,9789718741047,Renato Constantino,Under Japanese Rule,,,269,"Ortigas Foundation, Inc",Ortigas,2001,Gen. Ed.,Filipiniana,D 802 P5 U43
3598,7/2/2018,,Cynthia Cruz Datu,Jose P. Laurel,,,159,"Ortigas Foundation, Inc",Ortigas,1998,Filipiniana,Filipiniana,DS 686.2 L3 D262 1998
3599,7/2/2018,978971540938,Lazaro Francisco,Ilaw sa Hilaga,,,362,"Ortigas Foundation, Inc",Ortigas,1980,Filipiniana,Filipiniana,F 8471 il78 1997
3600,7/2/2018,9780060130628,Morris William,Harper Dictionary of contemporary Usage,,,650,"Ortigas Foundation, Inc",Ortigas,1975,Reference,Reference,
3601,7/2/2018,9789715693288,Criselda Yabes,Letters from Palawan,,,104,"Ortigas Foundation, Inc",Ortigas,1999,Filipiniana,Filipiniana,DS 688 P15Y11 1999
3602,7/2/2018,,Amadis Ma. Guerrero,A stun of Islands,,,131,"Ortigas Foundation, Inc.",Ortigas,2003,BSTM,Filipiniana,G 155 P6G93 2003
3603,7/2/2018,9780128054758,Rajesh Kumar,Strategic Financial Management Casebook,,,559,"Ortigas Foundation, Inc.",Ortigas,2017,BSA/IS,Filipiniana,HG 4015.5 K19 2017
3605,7/2/2018,,Potenciana Castro & Emmanuel Domingo,Journey to the Past: A study Guide in Philippine History,,,220,"Ortigas Foundation, Inc.",Ortigas,2004,Filipiniana,Filipiniana,DS 668 C279 2004
3606,7/2/2018,9789712710238,"Fernando, Gilda Cordero",Story Collection,,,276,"Ortigas Foundation, Inc.",Ortigas,1994,Filipiniana,Filipiniana,PS 9993 F4A18 1994
3607,7/2/2018,9789712713113,"Reyes, Jose Javier",Porn Again: Midlife outtakes and mistakes,,,248,"Ortigas Foundation, Inc.",Ortigas,2003,Filipiniana,Filipiniana,PL 5539 P64 R33p 2003
3608,7/2/2018,,Francisco Arcellana,Philippine Pen Anthology,,,260,"Ortigas Foundation, Inc.",Ortigas,1962,Filipiniana,Filipiniana,PL 5532 P45 1962
3609,7/2/2018,9780679035381,"Stern, Alison","Fodor's 98: Spain the complete guide including majorca, the canary island and morocco",,,554,"Ortigas Foundation, Inc.",Ortigas,1997,BSTM,Filipiniana,DP 14 F683 1969
3610,7/2/2018,,"Amparo Buhan, Rufino Alejandro & Antonio Mariano",Lupang Hinirang,,,238,"Ortigas Foundation, Inc.",Ortigas,1960,Filipiniana,Filipiniana,FIL 668 L978 B917 1960
3611,7/2/2018,,Rizalina Bagawak,Rizal Today: A History of Progress,,,123,Ortigas Foundation Inc.,Ortigas,1972,Filipiniana,Filipiniana,DS 688.2 R528 1972
3612,7/2/2018,,Antonio R. Samson,Life in the Middle Lane,,,302,Ortigas Foundation Inc.,Ortigas,1993,Filipiniana,Filipiniana,HM 73 Sa49 1993
3613,7/2/2018,9789813018372,William Warren,The Truth About Anna: and other stories,,,224,Ortigas Foundation Inc.,Ortigas,2002,Fiction,Filipiniana,
3614,7/2/2018,9789715421113,Jose Y. Dalisay Jr.,"Pagsabog ng liwanag aninag, anino",,,175,Ortigas Foundation Inc.,Ortigas,1996,Filipiniana,Filipiniana,PL 6062.2 D159 1996
3615,7/2/2018,888651716,Aprodicio & Eleanor Laquian,The Centenial President,,,321,Ortigas Foundation Inc.,Ortigas,1998,Filipiniana,Filipiniana,DS 686.616 E87L319 1998
3616,7/2/2018,9789715421959,Jose Wendell P. Capili,A madness of Birds,,,76,Ortigas Foundation Inc.,Ortigas,1998,Filipiniana,Filipiniana,PL 5539 C11C172 1998
3617,7/2/2018,,Dr. Preciosa S. Soliven,Half a Millenium of Philippines History,,,140,Ortigas Foundation Inc.,Ortigas,1998,Filipiniana,Filipiniana,DS 668 S65 1999
3618,,,Philippine Obstetrical and Gynecological Society,Pogs at 50 Ever onward to excellence,,,170,Ortigas Foundation Inc.,Ortigas,1996,Filipiniana,Filipiniana,RG 951 P547 1996
3619,7/2/2018,9789715421935,Rolando B. Tolentino,Sapinsaping Pag-ibig at pag tangis,,,223,Ortigas Foundation Inc.,Ortigas,1999,Filipiniana,Filipiniana,FIL PL 6063 T73.T575 1999
3620,7/2/2018,9789712310639,Ligaya G. Tiamson-Rubin,Sining at Kultura sa Bayan ng Angono,,,242,Ortigas Foundation Inc.,Ortigas,1992,Filipiniana,Filipiniana,FIL DS 688.A1 R824 1992
3621,7/2/2018,9789719127600,Choa Kok Sui,Advance Pranic Healing,,,342,Ortigas Foundation Inc.,Ortigas,1992,"Gen, Ed",Filipiniana,
3622,7/2/2018,9789715422505,Aurelio S. Agcaoili,Dangadang,,,483,Ortigas Foundation Inc.,Ortigas,2003,Filipiniana,Filipiniana,FIL PL 6063.A14 Ag21 2003
3623,7/2/2018,9789712320626,Ernesto V. Epistola,Nicanor Abelardo: The Man and the Artist a Biography,,,130,Ortigas Foundation Inc.,Ortigas,1996,Filipiniana,Filipiniana,FIL ML 410.A24 E65 1996
3624,7/2/2018,9789712718571,Marilyn Gutierrez,Gold Under the Bridge,,,117,Ortigas Foundation Inc.,Ortigas,2006,Filipiniana,Filipiniana,FIL PL 5531.4 G98
3625,7/2/2018,,M.J Enriquez,Balarila,,,171,Ortigas Foundation Inc.,Ortigas,1951,Filipiniana,Filipiniana,
3626,7/2/2018,,Renato Constantino,Insight & Foresight,,,263,Ortigas Foundation Inc.,Ortigas,,Filipiniana,Filipiniana,FIL DS 656 C76in 1977
3627,7/2/2018,,Jeanie Rose A. Bacong,Alimbayaw: The 1998-1999 Philippine Collegian Folio,,,96,Ortigas Foundation Inc.,Ortigas,1999,Filipiniana,Filipiniana,FIL PN 6153 A45 1999
3628,7/2/2018,9780679031147,"Martin Clutterback, Tim Locke and Dick Wilson",Exploring Thailand,,,288,Ortigas Foundation Inc.,Ortigas,1993,BSTM,Filipiniana,REF DS 563 C58 1995
3629,7/2/2018,9780060761363,Michael Tolliver Lives,Michael Tolliver Lives: A novel,,,274,Ortigas Foundation Inc.,Ortigas,2007,Fiction,fiction,FIC M44 2007
3630,7/2/2018,,Philippine center for investigative journalism,iReport: The Queens gambits,,,53,Ortigas Foundation Inc.,Ortigas,,Gen. Ed.,Filipiniana,
3631,7/2/2018,9781884830020,"Briahn Kelly-Brennan, L.Ac.",Chinese Herbal Medicine for the New Century:The Briahnic Approach to the Study of Matoria Medica,,,234,Ortigas Foundation Inc.,Ortigas,1997,Gen. Ed,Filipiniana,
3632,7/2/2018,,Philippine center for investigative journalism,Cronies and the Press,,,50,Ortigas Foundation Inc.,Ortigas,1999,Gen Ed.,Filipiniana,
3633,7/2/2018,,"Francoise Gaillard, Elisabeth Azoulay",100000 Years of Beaty,,,212,Ortigas Foundation Inc.,Ortigas,2000,Gen. Ed,Filipiniana,TT 507 B371 2005
3634,7/2/2018,9780679410708,Harold Evans,The American Century,,,709,Ortigas Foundation Inc.,Ortigas,1998,Filipiniana,Filipiniana,
3635,7/3/2018,20943725,National Commission and the Arts,Es.pa.syo,,,120,National Commission for Culture and the Arts,"Intramuros, Manila",2015,Filipiniana,Filipiniana,
3636,7/3/2018,,National Commission and the Arts,Mga korong awiting bayan para sa korong Pilipino:15 new choral works and arrangements in various Philippine lanbguages,,,146,National Commission for Culture and the Arts,"Intramuros, Manila",2007,Filipiniana,Filipiniana,
3637,7/3/2018,20943725,National Commission and the Arts,Espasyo,,,127,National Commission for Culture and the Arts,"Intramuros, Manila",2014,Filipiniana,Filipiniana,
3638,7/3/2018,20943725,National Commission and the Arts,Espasyo,,,144,National Commission for Culture and the Arts,"Intramuros, Manila",2010,Filipiniana,Filipiniana,
3639,7/3/2018,20943725,National Commission and the Arts,Espasyo,,,120,National Commission for Culture and the Arts,"Intramuros, Manila",2017,Filipiniana,Filipiniana,
3640,7/3/2018,9789718142127,"Muyco, Maria Christine",Mumunting Tinig,,,195,National Commission for Culture and the Arts,"Intramuros, Manila",2015,Filipiniana,Filipiniana,
3641,7/3/2018,16551796,"Lumbera, Bienvenido",Sanghaya 2005,,,115,National Commission for Culture and the Arts,"Intramuros, Manila",2005,Filipiniana,Filipiniana,FIL NX 9Sa.58 2005
3642,7/3/2018,9789718141953,"Perez, Edward",Malikhaing Guro,,,132,National Commission for Culture and the Arts,"Intramuros, Manila",2012,Filipiniana,Filipiniana,FIL N 85 P47 2012
3643,7/3/2018,,"Benitez, Josefa C.",Rites of Passage,,,135,National Commission for Culture and the Arts,"Intramuros, Manila",2015,Filipiniana,Filipiniana,FIL DS 686.4 B46 2015
3644,7/3/2018,9789718142103,"Lumbera, Bienvenido",Paunang Salita,,,378,National Commission for Culture and the Arts,"Intramuros, Manila",2014,Filipiniana,Filipiniana,FIL PL 2014 L957 2014
3645,7/3/2018,9789718142134,National Commission and the Arts,Femi.nest,,,210,National Commission for Culture and the Arts,"Intramuros, Manila",2014,Filipiniana,Filipiniana,FIL DS 9992.2 F38 2014
3646,7/3/2018,9789710197255,National Commission and the Arts,Mga kaalamang-Bayan ng Cordillera,,,252,National Commission for Culture and the Arts,"Intramuros, Manila",2013,Filipiniana,Filipiniana,FIL GR 326 M56 2013
3647,7/3/2018,9789710197248,"Abad, Sandor B.",Panitikang meranaw: Mga piling alamat at kwento,,,147,National Commission for Culture and the Arts,"Intramuros, Manila",2013,Filipiniana,Filipiniana,FIL P 36 S19 2013
3648,7/3/2018,9789716350357,"Zafra, Galileo S.",Salin-suri,,,401,National Commission for Culture and the Arts,"Intramuros, Manila",2009,Filipiniana,Filipiniana,
3649,7/3/2018,9786218064164,"Enemecio, Angel L.",Apdo sa kagulanan,,,94,National Commission for Culture and the Arts,"Intramuros, Manila",2017,Filipiniana,Filipiniana,FIL PL 5649.9 E54 2017
3650,7/3/2018,1163655,Philippine Historical Association,Historical Bulletin,,47,171,National Commission for Culture and the Arts,"Intramuros, Manila",2013,Filipiniana,Filipiniana,FIL JX 1576 P53 2012
3651,7/3/2018,97173505543,"Godinez-Ortega, Christine & Tiu, Macario D.",Mindanao Harvest 3,,,95,National Commission for Culture and the Arts,"Intramuros, Manila",2014,Filipiniana,Filipiniana,FIL PL 5531 M667 2014
3652,7/3/2018,9789718141854,"Tabag, Ariel S.",Samtoy,,,139,National Commission for Culture and the Arts,"Intramuros, Manila",2011,Filipiniana,Filipiniana,FIL PL 6062.3 Sa49 2011
3653,7/3/2018,9789710197736,"Teodoro, John Iremil E.",Pagdakep sa Ilahas: Koleksiyon ng mga bagong akda sa kinaraya,,,131,National Commission for Culture and the Arts,"Intramuros, Manila",2015,Filipiniana,Filipiniana,FIL PL 5628 PA128 2015
3654,7/3/2018,9786218064072,"Samar, Edgar",Sangguniang Aklat: Ako sa loob at Labas ng Bayan,,,333,National Commission for Culture and the Arts,"Intramuros, Manila",2016,Filipiniana,Filipiniana,FIL BF 6975 S43 2017
3655,7/3/2018,9780873537445,"Lott, Johnny & Carolyn",Mathematics Lessons learned from Across the World,,,113,National Commission for Culture and the Arts,"Intramuros, Manila",2014,Filipiniana,Filipiniana,QA 135.6 L465 2014
3656,7/3/2018,9789718141908,"Tomen, Nina B. & David, Pablo Virgilio S.",Suli: Legacies of Santiago Apostol Church of Betis,,,233,National Commission for Culture and the Arts,"Intramuros, Manila",2012,Filipiniana,Filipiniana,FIL BX 4640.P7 T66 2012
3657,8/3/2018,9786218064188,"Rodil, Rudy B.",Kasaysayan ng mga pamayanan ng mindanao at arkipelago ng sulu 1596-1898,,,171,National Commission for Culture and the Arts,"Intramuros, Manila",2017,Filipiniana,Filipiniana,FIL HN 40 M6 2017
3658,7/3/2018,9789710197,"Cordero, K.S",Ang ating biyaya sa araw araw,,,292,National Commission for Culture and the Arts,"Intramuros, Manila",2015,Filipiniana,Filipiniana,FIL PL 5584 A2 2015
